time,level,event,username,session_id,extra
2025-10-30 14:43:24,INFO,Открыта форма входа,-,-,-
2025-10-30 14:44:18,INFO,Успешный вход,danik,2889587d-df12-4ab0-a1f4-947a91737ae0,role=nan
2025-10-30 14:44:18,INFO,Открыта страница приветствия,danik,2889587d-df12-4ab0-a1f4-947a91737ae0,role=nan
2025-10-30 14:44:18,ERROR,Страница не найдена,danik,2889587d-df12-4ab0-a1f4-947a91737ae0,role=nan url=https://127.0.0.1/welcome/30e6b5b1-7040-4cf3-95a7-9f995dc58573_info.png
2025-10-30 14:44:18,ERROR,Страница не найдена,danik,2889587d-df12-4ab0-a1f4-947a91737ae0,role=nan url=https://127.0.0.1/favicon.ico
2025-10-30 14:44:20,INFO,Открыта главная страница,danik,2889587d-df12-4ab0-a1f4-947a91737ae0,role=nan
2025-10-30 14:44:20,ERROR,Страница не найдена,danik,2889587d-df12-4ab0-a1f4-947a91737ae0,role=nan url=https://127.0.0.1/static/assets/pic_background.png
2025-10-30 14:47:42,INFO,Выход из системы,danik,2889587d-df12-4ab0-a1f4-947a91737ae0,role=nan
2025-10-30 14:47:42,INFO,Открыта форма входа,-,-,-
2025-10-30 14:50:25,INFO,Открыта форма входа,-,-,-
2025-10-30 14:50:35,INFO,Успешный вход,admin1,7e51d0b7-e7f3-4da5-808e-c54353706a7c,role=admin
2025-10-30 14:50:35,INFO,Открыта форма регистрации,admin1,7e51d0b7-e7f3-4da5-808e-c54353706a7c,role=admin
2025-10-30 14:50:39,INFO,Успешный вход,admin1,792d40e7-a01b-4824-ad32-b7e73af2cdd4,role=admin
2025-10-30 14:50:39,INFO,Открыта форма регистрации,admin1,792d40e7-a01b-4824-ad32-b7e73af2cdd4,role=admin
2025-10-30 14:50:43,INFO,Открыта форма входа,-,-,-
2025-10-30 14:50:50,INFO,Успешный вход,admin1,566e9f6f-c59f-47d4-8094-88aa7bc84c5b,role=admin
2025-10-30 14:50:50,INFO,Открыта страница приветствия,admin1,566e9f6f-c59f-47d4-8094-88aa7bc84c5b,role=admin
2025-10-30 14:50:51,INFO,Открыта главная страница,admin1,566e9f6f-c59f-47d4-8094-88aa7bc84c5b,role=admin
2025-10-30 14:50:51,ERROR,Страница не найдена,admin1,566e9f6f-c59f-47d4-8094-88aa7bc84c5b,role=admin url=https://127.0.0.1/static/assets/pic_background.png
2025-10-30 14:53:54,INFO,Выход из системы,admin1,566e9f6f-c59f-47d4-8094-88aa7bc84c5b,role=admin
2025-10-30 14:53:54,INFO,Открыта форма входа,-,-,-
2025-10-30 15:03:18,INFO,Успешный вход,danik,a743354a-35de-46a2-9887-152bffe84551,role=nan
2025-10-30 15:03:18,INFO,Открыта страница приветствия,danik,a743354a-35de-46a2-9887-152bffe84551,role=nan
2025-10-30 15:03:18,ERROR,Страница не найдена,danik,a743354a-35de-46a2-9887-152bffe84551,role=nan url=https://127.0.0.1/welcome/30e6b5b1-7040-4cf3-95a7-9f995dc58573_info.png
2025-10-30 15:03:20,INFO,Открыта главная страница,danik,a743354a-35de-46a2-9887-152bffe84551,role=nan
2025-10-30 15:03:20,ERROR,Страница не найдена,danik,a743354a-35de-46a2-9887-152bffe84551,role=nan url=https://127.0.0.1/static/assets/pic_background.png
2025-10-30 15:08:38,INFO,Выход из системы,danik,a743354a-35de-46a2-9887-152bffe84551,role=nan
2025-10-30 15:08:38,INFO,Открыта форма входа,-,-,-
2025-11-01 09:06:28,INFO,Открыта страница входа,-,-,-
2025-11-01 09:06:29,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-01 09:06:29,INFO,Открыта форма входа,-,-,-
2025-11-10 10:46:27,INFO,Открыта страница входа,-,-,-
2025-11-10 10:46:27,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 10:46:27,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:37,INFO,Открыта страница входа,-,-,-
2025-11-10 11:11:37,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:37,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:39,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:39,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:39,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:39,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:44,INFO,Открыта страница входа,-,-,-
2025-11-10 11:11:44,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:44,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:46,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:46,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:46,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:46,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:52,INFO,Открыта страница входа,-,-,-
2025-11-10 11:11:52,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:52,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:54,WARNING,Неверный пароль,admin,-,-
2025-11-10 11:11:54,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:54,INFO,Открыта форма входа,-,-,-
2025-11-10 11:11:59,INFO,Открыта страница входа,-,-,-
2025-11-10 11:11:59,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:11:59,INFO,Открыта форма входа,-,-,-
2025-11-10 11:12:02,WARNING,Неверный пароль,admin,-,-
2025-11-10 11:12:02,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:12:02,INFO,Открыта форма входа,-,-,-
2025-11-10 11:12:04,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:12:04,INFO,Открыта форма входа,-,-,-
2025-11-10 11:12:04,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:12:04,INFO,Открыта форма входа,-,-,-
2025-11-10 11:12:09,INFO,Открыта страница входа,-,-,-
2025-11-10 11:12:09,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:12:09,INFO,Открыта форма входа,-,-,-
2025-11-10 11:12:11,WARNING,Неверный пароль,admin,-,-
2025-11-10 11:12:11,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:12:11,INFO,Открыта форма входа,-,-,-
2025-11-10 11:12:17,INFO,Открыта страница входа,-,-,-
2025-11-10 11:12:17,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:12:17,INFO,Открыта форма входа,-,-,-
2025-11-10 11:12:19,WARNING,Неверный пароль,admin,-,-
2025-11-10 11:12:19,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:12:19,INFO,Открыта форма входа,-,-,-
2025-11-10 11:21:48,INFO,Открыта страница входа,-,-,-
2025-11-10 11:21:48,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:21:48,INFO,Открыта форма входа,-,-,-
2025-11-10 11:21:50,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:21:50,INFO,Открыта форма входа,-,-,-
2025-11-10 11:21:50,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:21:50,INFO,Открыта форма входа,-,-,-
2025-11-10 11:21:56,INFO,Открыта страница входа,-,-,-
2025-11-10 11:21:56,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:21:56,INFO,Открыта форма входа,-,-,-
2025-11-10 11:21:58,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:21:58,INFO,Открыта форма входа,-,-,-
2025-11-10 11:21:58,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:21:58,INFO,Открыта форма входа,-,-,-
2025-11-10 11:22:03,INFO,Открыта страница входа,-,-,-
2025-11-10 11:22:03,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:22:03,INFO,Открыта форма входа,-,-,-
2025-11-10 11:22:05,WARNING,Неверный пароль,admin,-,-
2025-11-10 11:22:05,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:22:05,INFO,Открыта форма входа,-,-,-
2025-11-10 11:22:11,INFO,Открыта страница входа,-,-,-
2025-11-10 11:22:11,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:22:11,INFO,Открыта форма входа,-,-,-
2025-11-10 11:22:13,WARNING,Неверный пароль,admin,-,-
2025-11-10 11:22:13,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:22:13,INFO,Открыта форма входа,-,-,-
2025-11-10 11:22:15,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:22:15,INFO,Открыта форма входа,-,-,-
2025-11-10 11:22:15,WARNING,Попытка доступа без сессии,-,-,role=-
2025-11-10 11:22:15,INFO,Открыта форма входа,-,-,-
